Infinitive,исчисля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,исчисля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,исчисля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,исчисля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,исчисля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,исчисля́юсь
2nd Sing,исчисля́ешься
3rd Sing,исчисля́ется
1st Pl,исчисля́емся
2nd Pl,исчисля́етесь
3rd Pl,исчисля́ются
Past M,исчисля́лся
Past F,исчисля́лась
Past N,исчисля́лось
Past PL,исчисля́лись
Imp S,исчисля́йся
Imp PL,исчисля́йтесь
