Infinitive,истрепа́ть
Zaliznyak Class,6c(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,истрепа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,истрёпанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,истрепа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,истрепа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,истреплю́
2nd Sing,истре́плешь
3rd Sing,истре́плет
1st Pl,истре́плем
2nd Pl,истре́плете
3rd Pl,истре́плют
Past M,истрепа́л
Past F,истрепа́ла
Past N,истрепа́ло
Past PL,истрепа́ли
Imp S,истрепли́
Imp PL,истрепли́те
