Infinitive,исцеля́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,исцеля́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,исцеля́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,исцеля́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,исцеля́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,исцеля́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,исцеля́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,исцеля́ю
2nd Sing,исцеля́ешь
3rd Sing,исцеля́ет
1st Pl,исцеля́ем
2nd Pl,исцеля́ете
3rd Pl,исцеля́ют
Past M,исцеля́л
Past F,исцеля́ла
Past N,исцеля́ло
Past PL,исцеля́ли
Imp S,исцеля́й
Imp PL,исцеля́йте
