Infinitive,испа́чкать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,испа́чкавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,испа́чканный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,испа́чкав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,испа́чкавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,испа́чкаю
2nd Sing,испа́чкаешь
3rd Sing,испа́чкает
1st Pl,испа́чкаем
2nd Pl,испа́чкаете
3rd Pl,испа́чкают
Past M,испа́чкал
Past F,испа́чкала
Past N,испа́чкало
Past PL,испа́чкали
Imp S,испа́чкай
Imp PL,испа́чкайте
