Infinitive,иссуши́ть
Zaliznyak Class,4c[⑦]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,иссуши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,иссу́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,иссушённый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,иссуши́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,иссуши́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,иссушу́
2nd Sing,иссу́шишь
3rd Sing,иссу́шит
1st Pl,иссу́шим
2nd Pl,иссу́шите
3rd Pl,иссу́шат
Past M,иссуши́л
Past F,иссуши́ла
Past N,иссуши́ло
Past PL,иссуши́ли
Imp S,иссуши́
Imp PL,иссуши́те
