Infinitive,истопи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,истопи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,исто́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,истопи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,истопи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,истоплю́
2nd Sing,исто́пишь
3rd Sing,исто́пит
1st Pl,исто́пим
2nd Pl,исто́пите
3rd Pl,исто́пят
Past M,истопи́л
Past F,истопи́ла
Past N,истопи́ло
Past PL,истопи́ли
Imp S,истопи́
Imp PL,истопи́те
