Infinitive,исче́рпаться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,исче́рпавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,исче́рпавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,исче́рпаюсь
2nd Sing,исче́рпаешься
3rd Sing,исче́рпается
1st Pl,исче́рпаемся
2nd Pl,исче́рпаетесь
3rd Pl,исче́рпаются
Past M,исче́рпался
Past F,исче́рпалась
Past N,исче́рпалось
Past PL,исче́рпались
Imp S,исче́рпайся
Imp PL,исче́рпайтесь
