Infinitive,испаря́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,испаря́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,испаря́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,испаря́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,испаря́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,испаря́юсь
2nd Sing,испаря́ешься
3rd Sing,испаря́ется
1st Pl,испаря́емся
2nd Pl,испаря́етесь
3rd Pl,испаря́ются
Past M,испаря́лся
Past F,испаря́лась
Past N,испаря́лось
Past PL,испаря́лись
Imp S,испаря́йся
Imp PL,испаря́йтесь
