Infinitive,икну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,икну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,икну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,икну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,икну́
2nd Sing,икнёшь
3rd Sing,икнёт
1st Pl,икнём
2nd Pl,икнёте
3rd Pl,икну́т
Past M,икну́л
Past F,икну́ла
Past N,икну́ло
Past PL,икну́ли
Imp S,икни́
Imp PL,икни́те
