Infinitive,эмигри́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,эмигри́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,эмигри́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,эмигри́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,эмигри́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,эмигри́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,эмигри́рую
2nd Sing,эмигри́руешь
3rd Sing,эмигри́рует
1st Pl,эмигри́руем
2nd Pl,эмигри́руете
3rd Pl,эмигри́руют
Past M,эмигри́ровал
Past F,эмигри́ровала
Past N,эмигри́ровало
Past PL,эмигри́ровали
Imp S,эмигри́руй
Imp PL,эмигри́руйте
