Infinitive,зубри́ть
Zaliznyak Class,4b⑧
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зубря́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зубри́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зубри́мый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зу́бренный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,зубря́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,зубри́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,зубри́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,зубрю́
2nd Sing,зубри́шь
3rd Sing,зубри́т
1st Pl,зубри́м
2nd Pl,зубри́те
3rd Pl,зубря́т
Past M,зубри́л
Past F,зубри́ла
Past N,зубри́ло
Past PL,зубри́ли
Imp S,зубри́
Imp PL,зубри́те
