Infinitive,зуде́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зудя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зуде́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зудя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зуде́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,зуде́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,зужу́
2nd Sing,зуди́шь
3rd Sing,зуди́т
1st Pl,зуди́м
2nd Pl,зуди́те
3rd Pl,зудя́т
Past M,зуде́л
Past F,зуде́ла
Past N,зуде́ло
Past PL,зуде́ли
Imp S,зуди́
Imp PL,зуди́те
