Infinitive,хру́стнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,хру́стнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,хру́стнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,хру́стнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,хру́стну
2nd Sing,хру́стнешь
3rd Sing,хру́стнет
1st Pl,хру́стнем
2nd Pl,хру́стнете
3rd Pl,хру́стнут
Past M,хру́стнул
Past F,хру́стнула
Past N,хру́стнуло
Past PL,хру́стнули
Imp S,хру́стни
Imp PL,хру́стните
