Infinitive,хрусте́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,хрустя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,хрусте́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,хрустя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,хрусте́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,хрусте́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,хрущу́
2nd Sing,хрусти́шь
3rd Sing,хрусти́т
1st Pl,хрусти́м
2nd Pl,хрусти́те
3rd Pl,хрустя́т
Past M,хрусте́л
Past F,хрусте́ла
Past N,хрусте́ло
Past PL,хрусте́ли
Imp S,хрусти́
Imp PL,хрусти́те
