Infinitive,храни́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,храня́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,храни́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,храня́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,храни́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,храню́сь
2nd Sing,храни́шься
3rd Sing,храни́тся
1st Pl,храни́мся
2nd Pl,храни́тесь
3rd Pl,храня́тся
Past M,храни́лся
Past F,храни́лась
Past N,храни́лось
Past PL,храни́лись
Imp S,храни́сь
Imp PL,храни́тесь
