Infinitive,храпе́ть
Zaliznyak Class,5b
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,храпя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,храпе́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,храпя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,храпе́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,храпе́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,храплю́
2nd Sing,храпи́шь
3rd Sing,храпи́т
1st Pl,храпи́м
2nd Pl,храпи́те
3rd Pl,храпя́т
Past M,храпе́л
Past F,храпе́ла
Past N,храпе́ло
Past PL,храпе́ли
Imp S,храпи́
Imp PL,храпи́те
