Infinitive,хрю́кать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,хрю́кающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,хрю́кавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,хрю́кая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,хрю́кав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,хрю́кавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,хрю́каю
2nd Sing,хрю́каешь
3rd Sing,хрю́кает
1st Pl,хрю́каем
2nd Pl,хрю́каете
3rd Pl,хрю́кают
Past M,хрю́кал
Past F,хрю́кала
Past N,хрю́кало
Past PL,хрю́кали
Imp S,хрю́кай
Imp PL,хрю́кайте
