Infinitive,ла́ять
Zaliznyak Class,6a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ла́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ла́явший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ла́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ла́яв
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,ла́явши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,ла́ю
2nd Sing,ла́ешь
3rd Sing,ла́ет
1st Pl,ла́ем
2nd Pl,ла́ете
3rd Pl,ла́ют
Past M,ла́ял
Past F,ла́яла
Past N,ла́яло
Past PL,ла́яли
Imp S,ла́й
Imp PL,ла́йте
