Infinitive,ла́диться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ла́дящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ла́дившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ла́дясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ла́дившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ла́жусь
2nd Sing,ла́дишься
3rd Sing,ла́дится
1st Pl,ла́димся
2nd Pl,ла́дитесь
3rd Pl,ла́дятся
Past M,ла́дился
Past F,ла́дилась
Past N,ла́дилось
Past PL,ла́дились
Imp S,ла́дься
Imp PL,ла́дьтесь
