Infinitive,ла́яться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ла́яющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ла́явшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ла́яясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ла́явшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ла́яюсь
2nd Sing,ла́яешься
3rd Sing,ла́яется
1st Pl,ла́яемся
2nd Pl,ла́яетесь
3rd Pl,ла́яются
Past M,ла́ялся
Past F,ла́ялась
Past N,ла́ялось
Past PL,ла́ялись
Imp S,ла́яйся
Imp PL,ла́яйтесь
