Infinitive,лави́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,лави́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,лави́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,лави́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,лави́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,лави́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,лави́рую
2nd Sing,лави́руешь
3rd Sing,лави́рует
1st Pl,лави́руем
2nd Pl,лави́руете
3rd Pl,лави́руют
Past M,лави́ровал
Past F,лави́ровала
Past N,лави́ровало
Past PL,лави́ровали
Imp S,лави́руй
Imp PL,лави́руйте
