Infinitive,ла́комиться
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ла́комящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ла́комившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ла́комясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ла́комившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ла́комлюсь
2nd Sing,ла́комишься
3rd Sing,ла́комится
1st Pl,ла́комимся
2nd Pl,ла́комитесь
3rd Pl,ла́комятся
Past M,ла́комился
Past F,ла́комилась
Past N,ла́комилось
Past PL,ла́комились
Imp S,ла́комься
Imp PL,ла́комьтесь
