Infinitive,чти́ть
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,чтя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,short
PART:1:Participle Text,чту́щий
PART:1:Participle Type,active
PART:1:Participle Tense,present
PART:1:Participle Long or Short,long
PART:2:Participle Text,чти́вший
PART:2:Participle Type,active
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,чти́мый
PART:3:Participle Type,passive
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,чтя́
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,чти́в
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,чти́вши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,чту́
2nd Sing,чти́шь
3rd Sing,чти́т
1st Pl,чти́м
2nd Pl,чти́те
3rd Pl,чтя́т
Past M,чти́л
Past F,чти́ла
Past N,чти́ло
Past PL,чти́ли
Imp S,чти́
Imp PL,чти́те
