Infinitive,сдви́нуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сдви́нувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сдви́нувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сдви́нусь
2nd Sing,сдви́нешься
3rd Sing,сдви́нется
1st Pl,сдви́немся
2nd Pl,сдви́нетесь
3rd Pl,сдви́нутся
Past M,сдви́нулся
Past F,сдви́нулась
Past N,сдви́нулось
Past PL,сдви́нулись
Imp S,сдви́нься
Imp PL,сдви́ньтесь
