Infinitive,сдо́хнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сдо́хший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сдо́хши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сдо́хну
2nd Sing,сдо́хнешь
3rd Sing,сдо́хнет
1st Pl,сдо́хнем
2nd Pl,сдо́хнете
3rd Pl,сдо́хнут
Past M,сдо́х
Past F,сдо́хла
Past N,сдо́хло
Past PL,сдо́хли
Imp S,сдо́хни
Imp PL,сдо́хните
