Infinitive,сдвига́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сдвига́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сдвига́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сдвига́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сдвига́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сдвига́юсь
2nd Sing,сдвига́ешься
3rd Sing,сдвига́ется
1st Pl,сдвига́емся
2nd Pl,сдвига́етесь
3rd Pl,сдвига́ются
Past M,сдвига́лся
Past F,сдвига́лась
Past N,сдвига́лось
Past PL,сдвига́лись
Imp S,сдвига́йся
Imp PL,сдвига́йтесь
