Infinitive,сда́ться
Zaliznyak Class,irreg-b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сда́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сда́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сда́мся
2nd Sing,сда́шься
3rd Sing,сда́стся
1st Pl,сдади́мся
2nd Pl,сдади́тесь
3rd Pl,сдаду́тся
Past M,сда́лся
Past F,сдала́сь
Past N,сдало́сь
Past PL,сдали́сь
Imp S,сда́йся
Imp PL,сда́йтесь
