Infinitive,сдержа́ться
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сдержа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сдержа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сдержу́сь
2nd Sing,сде́ржишься
3rd Sing,сде́ржится
1st Pl,сде́ржимся
2nd Pl,сде́ржитесь
3rd Pl,сде́ржатся
Past M,сдержа́лся
Past F,сдержа́лась
Past N,сдержа́лось
Past PL,сдержа́лись
Imp S,сдержи́сь
Imp PL,сдержи́тесь
