Infinitive,сдружи́ться
Zaliznyak Class,4c // 4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сдружи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сдружи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сдружу́сь
2nd Sing,сдру́жишься
3rd Sing,сдру́жится
1st Pl,сдру́жимся
2nd Pl,сдру́житесь
3rd Pl,сдру́жатся
Past M,сдружи́лся
Past F,сдружи́лась
Past N,сдружи́лось
Past PL,сдружи́лись
Imp S,сдружи́сь
Imp PL,сдружи́тесь
