Infinitive,сдуре́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,сдуре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сдуре́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,сдуре́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,сдуре́ю
2nd Sing,сдуре́ешь
3rd Sing,сдуре́ет
1st Pl,сдуре́ем
2nd Pl,сдуре́ете
3rd Pl,сдуре́ют
Past M,сдуре́л
Past F,сдуре́ла
Past N,сдуре́ло
Past PL,сдуре́ли
Imp S,сдуре́й
Imp PL,сдуре́йте
