Infinitive,сдви́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сдви́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сдви́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сдви́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сдви́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сдви́ну
2nd Sing,сдви́нешь
3rd Sing,сдви́нет
1st Pl,сдви́нем
2nd Pl,сдви́нете
3rd Pl,сдви́нут
Past M,сдви́нул
Past F,сдви́нула
Past N,сдви́нуло
Past PL,сдви́нули
Imp S,сдви́нь
Imp PL,сдви́ньте
