Infinitive,сдава́ть
Zaliznyak Class,13b
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сдаю́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сдава́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сдава́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сдава́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,сдава́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,сдава́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,сдаю́
2nd Sing,сдаёшь
3rd Sing,сдаёт
1st Pl,сдаём
2nd Pl,сдаёте
3rd Pl,сдаю́т
Past M,сдава́л
Past F,сдава́ла
Past N,сдава́ло
Past PL,сдава́ли
Imp S,сдава́й
Imp PL,сдава́йте
