Infinitive,сде́рживаться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сде́рживающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сде́рживавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сде́рживаясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сде́рживавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сде́рживаюсь
2nd Sing,сде́рживаешься
3rd Sing,сде́рживается
1st Pl,сде́рживаемся
2nd Pl,сде́рживаетесь
3rd Pl,сде́рживаются
Past M,сде́рживался
Past F,сде́рживалась
Past N,сде́рживалось
Past PL,сде́рживались
Imp S,сде́рживайся
Imp PL,сде́рживайтесь
