Infinitive,сде́лать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сде́лавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сде́ланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сде́лав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сде́лавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сде́лаю
2nd Sing,сде́лаешь
3rd Sing,сде́лает
1st Pl,сде́лаем
2nd Pl,сде́лаете
3rd Pl,сде́лают
Past M,сде́лал
Past F,сде́лала
Past N,сде́лало
Past PL,сде́лали
Imp S,сде́лай
Imp PL,сде́лайте
