Infinitive,сда́ть
Zaliznyak Class,irreg-b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сда́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сда́нный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сда́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сда́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сда́м
2nd Sing,сда́шь
3rd Sing,сда́ст
1st Pl,сдади́м
2nd Pl,сдади́те
3rd Pl,сдаду́т
Past M,сда́л
Past F,сдала́
Past N,сда́ло
Past PL,сда́ли
Imp S,сда́й
Imp PL,сда́йте
