Infinitive,сдави́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сдави́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сда́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сдави́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сдави́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сдавлю́
2nd Sing,сда́вишь
3rd Sing,сда́вит
1st Pl,сда́вим
2nd Pl,сда́вите
3rd Pl,сда́вят
Past M,сдави́л
Past F,сдави́ла
Past N,сдави́ло
Past PL,сдави́ли
Imp S,сдави́
Imp PL,сдави́те
