Infinitive,сду́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сду́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сду́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сду́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сду́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сду́ю
2nd Sing,сду́ешь
3rd Sing,сду́ет
1st Pl,сду́ем
2nd Pl,сду́ете
3rd Pl,сду́ют
Past M,сду́л
Past F,сду́ла
Past N,сду́ло
Past PL,сду́ли
Imp S,сду́й
Imp PL,сду́йте
