Infinitive,сдержа́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сдержа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сде́ржанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сдержа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сдержа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сдержу́
2nd Sing,сде́ржишь
3rd Sing,сде́ржит
1st Pl,сде́ржим
2nd Pl,сде́ржите
3rd Pl,сде́ржат
Past M,сдержа́л
Past F,сдержа́ла
Past N,сдержа́ло
Past PL,сдержа́ли
Imp S,сдержи́
Imp PL,сдержи́те
