Infinitive,сде́латься
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сде́лавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сде́лавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,сде́лаюсь
2nd Sing,сде́лаешься
3rd Sing,сде́лается
1st Pl,сде́лаемся
2nd Pl,сде́лаетесь
3rd Pl,сде́лаются
Past M,сде́лался
Past F,сде́лалась
Past N,сде́лалось
Past PL,сде́лались
Imp S,сде́лайся
Imp PL,сде́лайтесь
