Infinitive,манипули́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,манипули́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,манипули́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,манипули́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,манипули́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,манипули́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,манипули́рую
2nd Sing,манипули́руешь
3rd Sing,манипули́рует
1st Pl,манипули́руем
2nd Pl,манипули́руете
3rd Pl,манипули́руют
Past M,манипули́ровал
Past F,манипули́ровала
Past N,манипули́ровало
Past PL,манипули́ровали
Imp S,манипули́руй
Imp PL,манипули́руйте
