Infinitive,маневри́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,маневри́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,маневри́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,маневри́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,маневри́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,маневри́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,маневри́рую
2nd Sing,маневри́руешь
3rd Sing,маневри́рует
1st Pl,маневри́руем
2nd Pl,маневри́руете
3rd Pl,маневри́руют
Past M,маневри́ровал
Past F,маневри́ровала
Past N,маневри́ровало
Past PL,маневри́ровали
Imp S,маневри́руй
Imp PL,маневри́руйте
