Infinitive,мая́чить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,мая́чащий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,мая́чивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,мая́ча
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,мая́чив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,мая́чивши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,мая́чу
2nd Sing,мая́чишь
3rd Sing,мая́чит
1st Pl,мая́чим
2nd Pl,мая́чите
3rd Pl,мая́чат
Past M,мая́чил
Past F,мая́чила
Past N,мая́чило
Past PL,мая́чили
Imp S,мая́чь
Imp PL,мая́чьте
