Infinitive,махну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,махну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,махну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,махну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,махну́
2nd Sing,махнёшь
3rd Sing,махнёт
1st Pl,махнём
2nd Pl,махнёте
3rd Pl,махну́т
Past M,махну́л
Past F,махну́ла
Past N,махну́ло
Past PL,махну́ли
Imp S,махни́
Imp PL,махни́те
