Infinitive,матери́ться
Zaliznyak Class,4b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,матеря́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,матери́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,матеря́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,матери́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,матерю́сь
2nd Sing,матери́шься
3rd Sing,матери́тся
1st Pl,матери́мся
2nd Pl,матери́тесь
3rd Pl,матеря́тся
Past M,матери́лся
Past F,матери́лась
Past N,матери́лось
Past PL,матери́лись
Imp S,матери́сь
Imp PL,матери́тесь
