Infinitive,ма́яться
Zaliznyak Class,6a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ма́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ма́явшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ма́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ма́явшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ма́юсь
2nd Sing,ма́ешься
3rd Sing,ма́ется
1st Pl,ма́емся
2nd Pl,ма́етесь
3rd Pl,ма́ются
Past M,ма́ялся
Past F,ма́ялась
Past N,ма́ялось
Past PL,ма́ялись
Imp S,ма́йся
Imp PL,ма́йтесь
