Infinitive,марширова́ть
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,марширу́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,марширова́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,марширу́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,марширова́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,марширова́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,марширу́ю
2nd Sing,марширу́ешь
3rd Sing,марширу́ет
1st Pl,марширу́ем
2nd Pl,марширу́ете
3rd Pl,марширу́ют
Past M,марширова́л
Past F,марширова́ла
Past N,марширова́ло
Past PL,марширова́ли
Imp S,марширу́й
Imp PL,марширу́йте
