Infinitive,материализова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,материализу́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,материализова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,материализу́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,материализова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,материализу́юсь
2nd Sing,материализу́ешься
3rd Sing,материализу́ется
1st Pl,материализу́емся
2nd Pl,материализу́етесь
3rd Pl,материализу́ются
Past M,материализова́лся
Past F,материализова́лась
Past N,материализова́лось
Past PL,материализова́лись
Imp S,материализу́йся
Imp PL,материализу́йтесь
