Infinitive,маскирова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,маскиру́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,маскирова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,маскиру́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,маскирова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,маскиру́юсь
2nd Sing,маскиру́ешься
3rd Sing,маскиру́ется
1st Pl,маскиру́емся
2nd Pl,маскиру́етесь
3rd Pl,маскиру́ются
Past M,маскирова́лся
Past F,маскирова́лась
Past N,маскирова́лось
Past PL,маскирова́лись
Imp S,маскиру́йся
Imp PL,маскиру́йтесь
