Infinitive,лга́ть
Zaliznyak Class,6°b/c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,лгу́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,лга́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,лга́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,лга́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,лгу́
2nd Sing,лжёшь
3rd Sing,лжёт
1st Pl,лжём
2nd Pl,лжёте
3rd Pl,лгу́т
Past M,лга́л
Past F,лгала́
Past N,лга́ло
Past PL,лга́ли
Imp S,лги́
Imp PL,лги́те
