Infinitive,овдове́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,овдове́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,овдове́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,овдове́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,овдове́ю
2nd Sing,овдове́ешь
3rd Sing,овдове́ет
1st Pl,овдове́ем
2nd Pl,овдове́ете
3rd Pl,овдове́ют
Past M,овдове́л
Past F,овдове́ла
Past N,овдове́ло
Past PL,овдове́ли
Imp S,овдове́й
Imp PL,овдове́йте
