Infinitive,овладе́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,овладе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,овладе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,овладе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,овладе́ю
2nd Sing,овладе́ешь
3rd Sing,овладе́ет
1st Pl,овладе́ем
2nd Pl,овладе́ете
3rd Pl,овладе́ют
Past M,овладе́л
Past F,овладе́ла
Past N,овладе́ло
Past PL,овладе́ли
Imp S,овладе́й
Imp PL,овладе́йте
