Infinitive,улыба́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,улыба́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,улыба́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,улыба́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,улыба́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,улыба́юсь
2nd Sing,улыба́ешься
3rd Sing,улыба́ется
1st Pl,улыба́емся
2nd Pl,улыба́етесь
3rd Pl,улыба́ются
Past M,улыба́лся
Past F,улыба́лась
Past N,улыба́лось
Past PL,улыба́лись
Imp S,улыба́йся
Imp PL,улыба́йтесь
