Infinitive,улови́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,улови́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уло́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,улови́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,улови́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уловлю́
2nd Sing,уло́вишь
3rd Sing,уло́вит
1st Pl,уло́вим
2nd Pl,уло́вите
3rd Pl,уло́вят
Past M,улови́л
Past F,улови́ла
Past N,улови́ло
Past PL,улови́ли
Imp S,улови́
Imp PL,улови́те
