Infinitive,улыбну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,улыбну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,улыбну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,улыбну́сь
2nd Sing,улыбнёшься
3rd Sing,улыбнётся
1st Pl,улыбнёмся
2nd Pl,улыбнётесь
3rd Pl,улыбну́тся
Past M,улыбну́лся
Past F,улыбну́лась
Past N,улыбну́лось
Past PL,улыбну́лись
Imp S,улыбни́сь
Imp PL,улыбни́тесь
