Infinitive,улете́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,улете́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,улете́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,улете́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,улечу́
2nd Sing,улети́шь
3rd Sing,улети́т
1st Pl,улети́м
2nd Pl,улети́те
3rd Pl,улетя́т
Past M,улете́л
Past F,улете́ла
Past N,улете́ло
Past PL,улете́ли
Imp S,улети́
Imp PL,улети́те
