Infinitive,улизну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,улизну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,улизну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,улизну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,улизну́
2nd Sing,улизнёшь
3rd Sing,улизнёт
1st Pl,улизнём
2nd Pl,улизнёте
3rd Pl,улизну́т
Past M,улизну́л
Past F,улизну́ла
Past N,улизну́ло
Past PL,улизну́ли
Imp S,улизни́
Imp PL,улизни́те
