Infinitive,улету́чиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,улету́чивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,улету́чивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,улету́чиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,улету́чивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,улету́чиваюсь
2nd Sing,улету́чиваешься
3rd Sing,улету́чивается
1st Pl,улету́чиваемся
2nd Pl,улету́чиваетесь
3rd Pl,улету́чиваются
Past M,улету́чивался
Past F,улету́чивалась
Past N,улету́чивалось
Past PL,улету́чивались
Imp S,улету́чивайся
Imp PL,улету́чивайтесь
