Infinitive,улучи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,улучи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,улучённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,улучи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,улучи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,улучу́
2nd Sing,улучи́шь
3rd Sing,улучи́т
1st Pl,улучи́м
2nd Pl,улучи́те
3rd Pl,улуча́т
Past M,улучи́л
Past F,улучи́ла
Past N,улучи́ло
Past PL,улучи́ли
Imp S,улучи́
Imp PL,улучи́те
