Infinitive,ула́дить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ула́дивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ула́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ула́див
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ула́дивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ула́жу
2nd Sing,ула́дишь
3rd Sing,ула́дит
1st Pl,ула́дим
2nd Pl,ула́дите
3rd Pl,ула́дят
Past M,ула́дил
Past F,ула́дила
Past N,ула́дило
Past PL,ула́дили
Imp S,ула́дь
Imp PL,ула́дьте
