Infinitive,уле́чься
Zaliznyak Class,8a/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,улёгшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,улёгшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,уля́гусь
2nd Sing,уля́жешься
3rd Sing,уля́жется
1st Pl,уля́жемся
2nd Pl,уля́жетесь
3rd Pl,уля́гутся
Past M,улёгся
Past F,улегла́сь
Past N,улегло́сь
Past PL,улегли́сь
Imp S,уля́гся
Imp PL,уля́гтесь
