Infinitive,улету́читься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,улету́чившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,улету́чившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,улету́чусь
2nd Sing,улету́чишься
3rd Sing,улету́чится
1st Pl,улету́чимся
2nd Pl,улету́читесь
3rd Pl,улету́чатся
Past M,улету́чился
Past F,улету́чилась
Past N,улету́чилось
Past PL,улету́чились
Imp S,улету́чься
Imp PL,улету́чьтесь
