Infinitive,уложи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уложи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уло́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уложи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уложи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уложу́
2nd Sing,уло́жишь
3rd Sing,уло́жит
1st Pl,уло́жим
2nd Pl,уло́жите
3rd Pl,уло́жат
Past M,уложи́л
Past F,уложи́ла
Past N,уложи́ло
Past PL,уложи́ли
Imp S,уложи́
Imp PL,уложи́те
