Infinitive,уличи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уличи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уличённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уличи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уличи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уличу́
2nd Sing,уличи́шь
3rd Sing,уличи́т
1st Pl,уличи́м
2nd Pl,уличи́те
3rd Pl,улича́т
Past M,уличи́л
Past F,уличи́ла
Past N,уличи́ло
Past PL,уличи́ли
Imp S,уличи́
Imp PL,уличи́те
