Infinitive,уложи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уложи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уложи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,уложу́сь
2nd Sing,уло́жишься
3rd Sing,уло́жится
1st Pl,уло́жимся
2nd Pl,уло́житесь
3rd Pl,уло́жатся
Past M,уложи́лся
Past F,уложи́лась
Past N,уложи́лось
Past PL,уложи́лись
Imp S,уложи́сь
Imp PL,уложи́тесь
